Dimensions,Obstacle Probability,Num Particles,Num Landmarks,Weighting Function,Device,Mean Time,Standard Deviation
2,0.1,32,10,Gaussian PDF,cuda,0.0015186591905408673,0.0001789260923226306
2,0.1,64,10,Gaussian PDF,cuda,0.0015260452147132226,0.00027287378351730906
2,0.1,128,10,Gaussian PDF,cuda,0.0015283747151046043,0.00026031114833448087
2,0.1,256,10,Gaussian PDF,cuda,0.0015014134765766398,0.00014739388376628813
2,0.1,512,10,Gaussian PDF,cuda,0.001515632587829028,0.0001917530348732557
2,0.1,1024,10,Gaussian PDF,cuda,0.0015421428572008299,0.0004703210531451754
2,0.1,2048,10,Gaussian PDF,cuda,0.0014900520981043358,0.00014865071975578496
2,0.1,4096,10,Gaussian PDF,cuda,0.0015141501696873364,0.0002083743710421711
2,0.1,8192,10,Gaussian PDF,cuda,0.001527629180492221,0.0002025432129601558
2,0.1,16384,10,Gaussian PDF,cuda,0.0015630322475136107,0.0002499596268118505
2,0.1,32,10,Attention,cuda,0.0011342992609065328,0.004712554632981385
2,0.1,64,10,Attention,cuda,0.0011124674425731142,0.00021668556245006427
2,0.1,128,10,Attention,cuda,0.0010878335163576414,0.00017627662629821932
2,0.1,256,10,Attention,cuda,0.0010787882721230674,0.00011831462865140209
2,0.1,512,10,Attention,cuda,0.0010713961840731433,9.845361823515006e-05
2,0.1,1024,10,Attention,cuda,0.001068613096640411,0.00010152044599082158
2,0.1,2048,10,Attention,cuda,0.00108786810172157,0.00041122604313698356
2,0.1,4096,10,Attention,cuda,0.0010932581618425439,0.00019179835465011344
2,0.1,8192,10,Attention,cuda,0.0011005505890614325,0.000163172432344559
2,0.1,16384,10,Attention,cuda,0.0011167653445835941,0.00016700568839815583
3,0.1,32,10,Gaussian PDF,cuda,0.0015223335265158698,0.00018738644496771716
3,0.1,64,10,Gaussian PDF,cuda,0.0015217364433553668,0.00021772933412858304
3,0.1,128,10,Gaussian PDF,cuda,0.0015140125274969419,0.00016760051853099907
3,0.1,256,10,Gaussian PDF,cuda,0.0015273192506732435,0.00019439873376623544
3,0.1,512,10,Gaussian PDF,cuda,0.0015479976023602244,0.0002473034770202408
3,0.1,1024,10,Gaussian PDF,cuda,0.0015589570928354294,0.0002880800982717552
3,0.1,2048,10,Gaussian PDF,cuda,0.0015172940660693722,0.00044082201327763426
3,0.1,4096,10,Gaussian PDF,cuda,0.0015108815282811182,0.00019817067181834364
